Date,Price,Open,High,Low,Vol.,Change %
2024-07-17,59.7,58.0,59.7,58.0,1390000.0,2.58
2024-07-16,58.2,58.0,58.2,57.7,374310.0,0.34
2024-07-15,58.0,57.6,58.1,57.6,627670.0,0.35
2024-07-14,57.8,57.8,58.3,57.6,223690.0,0.0
2024-07-11,57.8,57.8,58.2,57.6,1710000.0,0.0
2024-07-10,57.8,57.9,57.9,57.4,1270000.0,0.17
2024-07-09,57.7,57.7,58.1,57.3,467280.0,0.17
2024-07-08,57.6,56.5,58.1,56.5,1090000.0,1.59
2024-07-07,56.7,56.1,57.4,56.1,569940.0,1.43
2024-07-04,55.9,56.1,56.4,55.8,542370.0,-0.53
2024-07-03,56.2,56.1,56.4,56.0,334570.0,0.0
2024-07-02,56.2,56.9,57.0,56.2,273700.0,-1.23
2024-07-01,56.9,56.2,57.3,56.2,778400.0,1.61
2024-06-30,56.0,56.8,57.2,56.0,636770.0,-1.23
2024-06-27,56.7,56.0,57.1,56.0,515130.0,1.25
2024-06-26,56.0,57.0,57.0,56.0,435230.0,-1.75
2024-06-25,57.0,56.0,57.0,55.7,830230.0,1.79
2024-06-24,56.0,56.1,56.3,55.7,541030.0,0.36
2024-06-23,55.8,56.0,56.5,55.2,321790.0,1.64
2024-06-13,54.9,56.1,56.5,54.9,705600.0,-2.14
2024-06-12,56.1,56.3,57.0,56.1,815760.0,-0.36
2024-06-11,56.3,56.7,56.8,56.2,572650.0,-0.71
2024-06-10,56.7,55.4,57.0,55.3,1200000.0,2.35
2024-06-09,55.4,53.2,56.4,53.1,1280000.0,4.92
2024-06-06,52.8,53.6,54.0,52.6,300630.0,-1.49
2024-06-05,53.6,54.0,54.0,53.0,195750.0,0.19
2024-06-04,53.5,54.7,54.7,53.5,462650.0,-1.83
2024-06-03,54.5,54.5,55.0,54.2,586160.0,0.37
2024-06-02,54.3,52.3,54.3,52.3,381940.0,3.82
2024-05-30,52.3,52.4,52.9,51.9,2820000.0,0.0
2024-05-29,52.3,52.3,52.9,51.6,1360000.0,0.0
2024-05-28,52.3,52.5,52.8,52.2,559270.0,-0.38
2024-05-27,52.5,53.7,53.7,52.5,517850.0,-0.57
2024-05-26,52.8,53.4,53.4,52.7,235650.0,-0.75
2024-05-23,53.2,53.9,54.0,53.0,558730.0,-1.12
2024-05-22,53.8,53.9,54.2,53.5,430340.0,-0.19
2024-05-21,53.9,54.0,54.2,53.7,421000.0,-0.55
2024-05-20,54.2,54.3,54.5,53.8,347570.0,-0.18
2024-05-19,54.3,54.7,54.7,54.2,215030.0,-0.55
2024-05-16,54.6,54.9,55.1,54.1,496010.0,-0.55
2024-05-15,54.9,55.5,55.5,54.8,228860.0,-0.54
2024-05-14,55.2,55.2,55.8,54.9,494040.0,0.18
2024-05-13,55.1,55.1,55.3,54.4,722960.0,0.0
2024-05-12,55.1,56.0,56.1,55.0,375130.0,-1.61
2024-05-09,56.0,56.5,56.5,55.5,905850.0,-0.71
2024-05-08,56.4,56.4,56.6,55.9,876620.0,0.0
2024-05-07,56.4,56.2,56.4,55.8,702670.0,0.18
2024-05-06,56.3,56.2,56.4,55.7,492110.0,0.54
2024-05-05,56.0,56.2,56.3,55.7,443980.0,0.0
2024-05-02,56.0,56.2,56.4,55.8,1080000.0,-0.36
2024-05-01,56.2,56.6,56.7,56.1,437060.0,-1.06
2024-04-30,56.8,56.9,56.9,56.1,680850.0,0.0
2024-04-29,56.8,56.5,57.1,56.3,690190.0,0.71
2024-04-28,56.4,56.5,56.9,56.2,230090.0,0.0
2024-04-25,56.4,56.9,57.2,55.8,601320.0,-0.53
2024-04-24,56.7,58.4,58.4,56.5,1050000.0,-2.41
2024-04-23,58.1,58.5,58.5,57.7,1240000.0,-0.68
2024-04-22,58.5,58.8,58.8,57.5,1510000.0,0.0
2024-04-21,58.5,58.8,59.2,58.2,1380000.0,1.21
2024-04-18,57.8,58.0,58.1,57.4,741380.0,-0.17
2024-04-17,57.9,57.1,58.0,56.9,1090000.0,1.58
2024-04-16,57.0,57.7,57.7,56.9,1050000.0,-1.55
2024-04-15,57.9,57.4,58.3,57.3,1030000.0,0.87
2024-04-14,57.4,56.6,57.5,56.5,537270.0,0.53
2024-04-04,57.1,56.9,57.3,56.6,572200.0,0.71
2024-04-03,56.7,57.0,57.1,56.7,658270.0,-0.87
2024-04-02,57.2,57.3,57.3,56.6,512060.0,0.35
2024-04-01,57.0,57.7,57.8,57.0,383250.0,-1.04
2024-03-31,57.6,57.4,57.7,57.2,322330.0,0.7
2024-03-28,57.2,57.6,57.7,57.2,501940.0,-0.35
2024-03-27,57.4,57.1,57.7,57.0,540790.0,0.35
2024-03-26,57.2,57.5,57.7,57.2,653710.0,-0.35
2024-03-25,57.4,57.8,58.1,57.4,467070.0,-0.69
2024-03-24,57.8,57.6,57.9,57.4,342460.0,0.7
2024-03-21,57.4,57.9,58.0,57.4,559410.0,-0.35
2024-03-20,57.6,57.8,58.0,57.3,1160000.0,-0.35
2024-03-19,57.8,58.5,58.9,57.6,1400000.0,-0.52
2024-03-18,58.1,58.0,58.3,57.2,934200.0,0.17
2024-03-17,58.0,57.9,58.3,57.6,953860.0,0.0
2024-03-14,58.0,58.8,59.0,57.8,2300000.0,-1.36
2024-03-13,58.8,58.0,58.9,57.9,1160000.0,1.73
2024-03-12,57.8,58.4,58.7,57.6,1500000.0,-1.2
2024-03-11,58.5,59.0,59.1,58.0,802280.0,-0.51
2024-03-10,58.8,59.4,60.0,58.7,707110.0,-1.01
2024-03-07,59.4,58.5,60.7,58.2,2190000.0,1.37
2024-03-06,58.6,58.2,58.8,57.9,593480.0,1.56
2024-03-05,57.7,57.9,58.4,57.4,539710.0,0.17
2024-03-04,57.6,58.9,58.9,57.6,872850.0,-2.04
2024-03-03,58.8,58.8,59.4,58.6,536160.0,0.0
2024-02-29,58.8,59.1,59.2,58.7,925660.0,-0.34
2024-02-28,59.0,58.9,59.5,58.7,829300.0,0.0
2024-02-27,59.0,59.0,59.0,58.6,870020.0,-0.34
2024-02-26,59.2,60.0,60.0,59.2,1270000.0,-1.0
2024-02-25,59.8,59.4,60.3,59.2,1100000.0,0.0
2024-02-21,59.8,59.9,60.0,59.4,726420.0,-0.17
2024-02-20,59.9,60.0,60.2,59.0,1650000.0,-0.17
2024-02-19,60.0,59.3,60.3,59.0,1500000.0,1.35
2024-02-18,59.2,58.4,59.6,58.2,1750000.0,1.54
2024-02-15,58.3,58.8,58.8,58.0,810410.0,-0.68
2024-02-14,58.7,58.2,59.1,57.7,1260000.0,0.86
2024-02-13,58.2,58.0,58.4,57.8,522180.0,0.34
2024-02-12,58.0,58.4,58.5,57.5,721920.0,-0.34
2024-02-11,58.2,60.3,60.3,57.7,1290000.0,-2.35
2024-02-08,59.6,59.0,61.1,58.3,3550000.0,1.02
2024-02-07,59.0,57.5,59.2,56.0,4780000.0,-1.01
2024-02-06,59.6,58.3,59.6,57.8,1040000.0,2.41
2024-02-05,58.2,57.9,59.1,57.7,1400000.0,0.87
2024-02-04,57.7,57.3,58.1,57.1,1020000.0,1.05
2024-02-01,57.1,57.1,57.7,56.5,915050.0,0.0
2024-01-31,57.1,57.1,58.2,57.0,859800.0,0.0
2024-01-30,57.1,59.4,59.5,57.0,999490.0,-3.87
2024-01-29,59.4,59.4,59.5,58.9,308320.0,0.17
2024-01-28,59.3,59.5,60.2,59.2,574440.0,-0.67
2024-01-25,59.7,59.0,60.3,59.0,1070000.0,1.53
2024-01-24,58.8,59.9,60.0,58.8,888570.0,-1.01
2024-01-23,59.4,60.9,60.9,59.3,725890.0,-1.82
2024-01-22,60.5,62.0,62.2,59.2,1190000.0,-1.79
2024-01-21,61.6,61.3,62.7,61.1,664160.0,0.0
2024-01-18,61.6,62.6,63.0,61.2,578510.0,-1.75
2024-01-17,62.7,62.9,64.1,62.7,727490.0,-0.63
2024-01-16,63.1,63.2,63.2,62.6,418550.0,-0.16
2024-01-15,63.2,62.4,63.4,61.8,689950.0,1.12
2024-01-14,62.5,62.0,62.5,61.0,444810.0,-0.79
2024-01-11,63.0,62.4,63.2,61.8,611540.0,0.48
2024-01-10,62.7,62.5,63.0,61.5,666360.0,0.16
2024-01-09,62.6,61.4,63.2,61.0,1190000.0,2.45
2024-01-08,61.1,61.0,61.6,60.4,891990.0,-0.49
2024-01-07,61.4,61.0,62.0,60.6,831600.0,0.66
2024-01-04,61.0,57.4,61.8,57.2,2500000.0,5.72
2024-01-03,57.7,58.6,59.6,57.7,1710000.0,-1.54
2024-01-02,58.6,55.5,58.8,55.5,4200000.0,5.59
2024-01-01,55.5,55.6,55.7,55.2,968230.0,-0.54
